Unnamed: 0,DateTime,Date,Time,TSS(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,46.16
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,51.58
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,52.54
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,50.73
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,51.66
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,50.13
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,50.24
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,48.8
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,48.34
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,47.45
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,57.51
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,60.7
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,61.95
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,51.77
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,51.23
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,55.3
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,56.09
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,58.98
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,60.68
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,74.02
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,77.79
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,76.12
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,74.29
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,77.31
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,75.09
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,72.24
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,71.72
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,69.6
28.0,16 Aug 23:18,16 Aug 2021,23:18:09,66.97
29.0,19 Aug 21:09,19 Aug 2021,21:09:25,64.68
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,77.57
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,70.52
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,300.63
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,301.17
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,296.31
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,295.19
36.0,28 Aug 19:18,28 Aug 2021,19:18:38,293.46
,03 Sep 02:17,03 Sep 2021,02:17:33,269.05
,03 09 10:54,03 Sep 2021,10:54:46,267.26
,10 Sep 17:38,10 Sep 2021,17:38:26,291.04
,10 Sep 23:30,10 Sep 2021,23:30:16,283.7
,12 Sep 17:30,12 Sep 2021,17:30:03,274.2
,12 Sep 18:42,12 Sep 2021,18:42:45,268.1
