Unnamed: 0,DateTime,Date,Time,TSS(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,289.37
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.0
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,113.74
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,124.39
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,2037.31
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,81.79
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,59.53
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,1188.88
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,106.59
9.0,10 Aug 09:26,10 Aug 2021,09:26:56,90.61
10.0,10 Aug 10:27,10 Aug 2021,10:27:28,146.03
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,101.09
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,116.2
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,99.16
14.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.0
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,98.26
16.0,11 Aug 18:00,11 Aug 2021,18:00:02,98.44
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,96.57
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,98.66
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,97.15
20.0,16 Aug 15:15,16 Aug 2021,15:15:28,100.27
21.0,16 Aug 17:19,16 Aug 2021,17:19:32,99.67
22.0,16 Aug 19:20,16 Aug 2021,19:20:17,103.84
23.0,16 Aug 23:18,16 Aug 2021,23:18:09,105.4
24.0,17 Aug 00:18,17 Aug 2021,00:18:33,100.51
25.0,19 Aug 21:09,19 Aug 2021,21:09:25,112.91
26.0,19 Aug 22:09,19 Aug 2021,22:09:52,101.65
27.0,23 Aug 15:16,23 Aug 2021,15:16:38,99.9
28.0,23 Aug 18:03,23 Aug 2021,18:03:46,101.07
29.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.0
,03 Sep 02:17,03 Sep 2021,02:17:33,131.43
,03 09 10:54,03 Sep 2021,10:54:46,0.0
,10 Sep 17:38,10 Sep 2021,17:38:26,82.29
,10 Sep 23:30,10 Sep 2021,23:30:16,80.99
,12 Sep 17:30,12 Sep 2021,17:30:03,82.78
,12 Sep 18:42,12 Sep 2021,18:42:45,82.99
,12 Sep 21:12,12 Sep 2021,21:12:54,82.43
,12 Sep 22:53,12 Sep 2021,22:53:57,82.11
