Unnamed: 0,DateTime,Date,Time,DO(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,4.91
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,3.04
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,3.1
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,3.18
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,3.92
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,4.37
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,4.67
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,4.98
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,5.29
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,5.07
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,2.8
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,2.73
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,2.69
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,3.61
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,3.74
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,3.76
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,3.05
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,2.9
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,2.54
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,2.55
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,2.69
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,2.93
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.0
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,2.31
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,2.35
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,2.91
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,3.3
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,3.7
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,3.82
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,3.4
30.0,19 Aug 21:09,19 Aug 2021,21:09:25,5.13
31.0,19 Aug 22:09,19 Aug 2021,22:09:52,4.99
32.0,23 Aug 15:16,23 Aug 2021,15:16:38,4.01
33.0,23 Aug 18:03,23 Aug 2021,18:03:46,4.2
34.0,28 Aug 10:21,28 Aug 2021,10:21:18,2.58
35.0,28 Aug 11:35,28 Aug 2021,11:35:06,2.54
36.0,28 Aug 12:45,28 Aug 2021,12:45:39,2.57
37.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.12
38.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.75
39.0,28 Aug 19:18,28 Aug 2021,19:18:38,4.34
,03 Sep 02:17,03 Sep 2021,02:17:33,0.79
,03 09 10:54,03 Sep 2021,10:54:46,0.07
,10 Sep 17:38,10 Sep 2021,17:38:26,4.62
,10 Sep 23:30,10 Sep 2021,23:30:16,4.26
,12 Sep 17:30,12 Sep 2021,17:30:03,2.0
,12 Sep 18:42,12 Sep 2021,18:42:45,1.99
,12 Sep 22:00,12 Sep 2021,22:00:04,1.94
,12 Sep 22:53,12 Sep 2021,22:53:57,1.86
