Unnamed: 0,DateTime,Date,Time,Ammonia(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,
1.0,04 Aug 14:28,04 Aug 2021,14:28:10,0.0
2.0,09 Aug 11:41,09 Aug 2021,11:41:48,1.21
3.0,09 Aug 12:57,09 Aug 2021,12:57:04,1.2
4.0,09 Aug 13:57,09 Aug 2021,13:57:19,1.19
5.0,09 Aug 15:16,09 Aug 2021,15:16:19,1.17
6.0,09 Aug 16:29,09 Aug 2021,16:29:24,1.18
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,1.15
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,1.22
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,1.39
10.0,10 Aug 10:27,10 Aug 2021,10:27:28,1.37
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,1.05
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,1.06
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,1.07
14.0,11 Aug 08:47,11 Aug 2021,08:47:06,1.24
15.0,11 Aug 10:20,11 Aug 2021,10:20:04,1.25
16.0,11 Aug 12:13,11 Aug 2021,12:13:36,1.19
17.0,11 Aug 16:56,11 Aug 2021,16:56:21,1.06
18.0,11 Aug 18:00,11 Aug 2021,18:00:02,1.07
19.0,12 Aug 10:59,12 Aug 2021,10:59:37,1.24
20.0,12 Aug 12:14,12 Aug 2021,12:14:31,1.21
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.65
22.0,16 Aug 11:06,16 Aug 2021,11:06:03,0.64
23.0,16 Aug 15:15,16 Aug 2021,15:15:28,0.63
24.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.65
25.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.66
26.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.7
27.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.66
28.0,23 Aug 18:03,23 Aug 2021,18:03:46,0.63
29.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.45
30.0,28 Aug 15:26,28 Aug 2021,15:26:51,2.51
31.0,28 Aug 18:00,28 Aug 2021,18:00:08,2.48
32.0,28 Aug 19:18,28 Aug 2021,19:18:38,2.51
,03 Sep 02:17,03 Sep 2021,02:17:33,2.15
,03 09 10:54,03 Sep 2021,10:54:46,2.27
,10 Sep 17:38,10 Sep 2021,17:38:26,0.56
,10 Sep 23:30,10 Sep 2021,23:30:16,0.57
,12 Sep 17:30,12 Sep 2021,17:30:03,0.61
,12 Sep 18:42,12 Sep 2021,18:42:45,0.0
