Unnamed: 0,DateTime,Date,Time,Ammonia(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,2.16
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,3.5
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,3.48
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,3.52
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,3.62
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,3.69
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,3.67
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,3.72
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,4.11
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,4.13
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,3.97
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,4.19
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,3.37
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,3.39
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,3.41
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,3.55
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,3.5
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,3.47
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,3.4
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,3.43
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,3.51
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,3.55
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,3.59
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,3.57
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,3.54
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,3.53
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.0
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,3.55
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.0
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,3.07
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.15
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,3.26
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,1.52
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,1.55
34.0,28 Aug 12:45,28 Aug 2021,12:45:39,1.46
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.48
36.0,28 Aug 18:00,28 Aug 2021,18:00:08,1.47
37.0,28 Aug 19:18,28 Aug 2021,19:18:38,1.43
,03 Sep 02:17,03 Sep 2021,02:17:33,1.24
,03 09 10:54,03 Sep 2021,10:54:46,1.17
,10 Sep 17:38,10 Sep 2021,17:38:26,2.19
,10 Sep 23:30,10 Sep 2021,23:30:16,2.53
,12 Sep 17:30,12 Sep 2021,17:30:03,2.38
,12 Sep 18:42,12 Sep 2021,18:42:45,2.64
,12 Sep 21:12,12 Sep 2021,21:12:54,2.67
,12 Sep 22:53,12 Sep 2021,22:53:57,2.7
