Unnamed: 0,DateTime,Date,Time,Turbidity(NTU)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,129.26
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,129.71
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,349.77
3.0,19 Aug 21:09,19 Aug 2021,21:09:25,130.38
4.0,23 Aug 15:16,23 Aug 2021,15:16:38,125.62
5.0,28 Aug 10:21,28 Aug 2021,10:21:18,123.07
6.0,28 Aug 11:35,28 Aug 2021,11:35:06,123.23
7.0,28 Aug 12:45,28 Aug 2021,12:45:39,123.19
,03 Sep 02:17,03 Sep 2021,02:17:33,124.15
,10 Sep 17:38,10 Sep 2021,17:38:26,126.95
,10 Sep 23:30,10 Sep 2021,23:30:16,127.0
,12 Sep 18:42,12 Sep 2021,18:42:45,126.61
,12 Sep 22:00,12 Sep 2021,22:00:04,126.83
