Unnamed: 0,DateTime,Date,Time,Turbidity(NTU)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,215.3
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,194.92
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,196.81
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,200.01
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,198.22
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,201.1
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,204.9
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,223.53
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,204.73
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,203.8
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,216.07
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,214.39
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,215.81
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,208.42
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,208.26
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,205.22
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,212.97
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,213.17
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,212.32
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,215.22
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,213.9
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,224.78
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,218.72
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,188.52
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,190.62
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,184.03
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,184.21
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,180.23
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,178.09
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,176.68
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,171.91
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,245.92
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,249.49
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,209.0
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,210.18
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,208.93
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,210.57
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,205.38
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,202.03
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,199.55
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,201.26
,03 Sep 02:17,03 Sep 2021,02:17:33,257.35
,03 09 10:54,03 Sep 2021,10:54:46,241.42
,10 Sep 17:38,10 Sep 2021,17:38:26,165.07
,10 Sep 23:30,10 Sep 2021,23:30:16,159.59
,12 Sep 17:30,12 Sep 2021,17:30:03,191.0
,12 Sep 18:42,12 Sep 2021,18:42:45,191.3
,12 Sep 21:12,12 Sep 2021,21:12:54,199.71
,12 Sep 22:53,12 Sep 2021,22:53:57,195.87
