Unnamed: 0,DateTime,Date,Time,Ammonia(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.1
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.12
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,0.13
3.0,09 Aug 19:30,09 Aug 2021,19:30:40,0.12
4.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.13
5.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.12
6.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.13
7.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.12
8.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.09
9.0,19 Aug 22:09,19 Aug 2021,22:09:52,0.11
10.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.1
11.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.09
,03 Sep 02:17,03 Sep 2021,02:17:33,0.12
,10 Sep 17:38,10 Sep 2021,17:38:26,0.1
