Unnamed: 0,DateTime,Date,Time,Turbidity(NTU)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,126.09
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,130.96
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,131.21
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,131.55
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,131.27
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,129.5
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,132.05
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,131.47
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,130.74
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,130.02
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,130.7
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,130.09
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,132.03
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,132.05
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,132.25
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,131.85
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,130.88
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,131.88
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,130.51
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,132.36
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,132.78
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,131.87
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,132.33
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,131.78
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,132.94
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,131.45
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,132.97
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,133.09
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,132.75
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,131.77
30.0,19 Aug 21:09,19 Aug 2021,21:09:25,132.78
31.0,19 Aug 22:09,19 Aug 2021,22:09:52,133.81
32.0,23 Aug 15:16,23 Aug 2021,15:16:38,130.72
33.0,23 Aug 18:03,23 Aug 2021,18:03:46,131.49
34.0,28 Aug 10:21,28 Aug 2021,10:21:18,134.07
35.0,28 Aug 11:35,28 Aug 2021,11:35:06,132.68
36.0,28 Aug 12:45,28 Aug 2021,12:45:39,132.49
37.0,28 Aug 15:26,28 Aug 2021,15:26:51,132.39
38.0,28 Aug 18:00,28 Aug 2021,18:00:08,133.9
39.0,28 Aug 19:18,28 Aug 2021,19:18:38,132.14
,03 Sep 02:17,03 Sep 2021,02:17:33,133.81
,03 09 10:54,03 Sep 2021,10:54:46,134.64
,10 Sep 17:38,10 Sep 2021,17:38:26,265.59
,10 Sep 23:30,10 Sep 2021,23:30:16,265.46
,12 Sep 17:30,12 Sep 2021,17:30:03,265.68
,12 Sep 18:42,12 Sep 2021,18:42:45,265.79
,12 Sep 21:12,12 Sep 2021,21:12:54,265.71
,12 Sep 22:53,12 Sep 2021,22:53:57,265.91
