Unnamed: 0,DateTime,Date,Time,Ammonia(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,33.16
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,12.75
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,12.71
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,9.39
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,8.89
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,12.98
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,10.52
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,10.94
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,11.17
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,14.13
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,12.89
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,11.9
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,9.93
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,12.23
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,11.64
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,12.07
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,9.11
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,8.11
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,7.92
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,7.91
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,8.53
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,7.72
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,13.16
23.0,16 Aug 15:15,16 Aug 2021,15:15:28,11.47
24.0,16 Aug 17:19,16 Aug 2021,17:19:32,15.88
25.0,16 Aug 19:20,16 Aug 2021,19:20:17,14.61
26.0,16 Aug 23:18,16 Aug 2021,23:18:09,15.73
27.0,17 Aug 00:18,17 Aug 2021,00:18:33,20.09
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,18.06
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,13.71
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,9.73
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,7.21
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,22.88
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,22.81
34.0,28 Aug 12:45,28 Aug 2021,12:45:39,26.62
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,31.81
36.0,28 Aug 18:00,28 Aug 2021,18:00:08,32.81
37.0,28 Aug 19:18,28 Aug 2021,19:18:38,34.05
,03 Sep 02:17,03 Sep 2021,02:17:33,35.15
,03 09 10:54,03 Sep 2021,10:54:46,42.41
,10 Sep 17:38,10 Sep 2021,17:38:26,10.4
,10 Sep 23:30,10 Sep 2021,23:30:16,9.97
,12 Sep 17:30,12 Sep 2021,17:30:03,8.94
,12 Sep 18:42,12 Sep 2021,18:42:45,9.11
,12 Sep 21:12,12 Sep 2021,21:12:54,0.0
,12 Sep 22:53,12 Sep 2021,22:53:57,9.09
