Unnamed: 0,DateTime,Date,Time,Ammonia(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,3.45
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.87
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,0.84
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.9
4.0,09 Aug 18:30,09 Aug 2021,18:30:16,0.92
5.0,09 Aug 19:30,09 Aug 2021,19:30:40,0.93
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.92
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.87
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.88
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.87
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.94
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,0.95
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,0.96
13.0,11 Aug 10:20,11 Aug 2021,10:20:04,0.93
14.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.96
15.0,11 Aug 18:00,11 Aug 2021,18:00:02,0.97
16.0,12 Aug 10:59,12 Aug 2021,10:59:37,0.98
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,1.06
18.0,16 Aug 11:06,16 Aug 2021,11:06:03,1.07
19.0,16 Aug 15:15,16 Aug 2021,15:15:28,1.1
20.0,16 Aug 16:15,16 Aug 2021,16:15:54,1.11
21.0,16 Aug 19:20,16 Aug 2021,19:20:17,1.13
22.0,16 Aug 23:18,16 Aug 2021,23:18:09,1.14
23.0,17 Aug 00:18,17 Aug 2021,00:18:33,1.15
24.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.89
25.0,19 Aug 22:09,19 Aug 2021,22:09:52,0.88
26.0,23 Aug 15:16,23 Aug 2021,15:16:38,1.17
27.0,23 Aug 18:03,23 Aug 2021,18:03:46,1.23
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,1.4
29.0,28 Aug 12:45,28 Aug 2021,12:45:39,1.39
30.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.4
31.0,28 Aug 18:00,28 Aug 2021,18:00:08,1.41
,03 Sep 02:17,03 Sep 2021,02:17:33,1.21
,10 Sep 17:38,10 Sep 2021,17:38:26,1.92
,10 Sep 23:30,10 Sep 2021,23:30:16,1.96
,12 Sep 16:50,12 Sep 2021,16:50:46,1.76
,12 Sep 17:30,12 Sep 2021,17:30:03,1.78
,12 Sep 18:34,12 Sep 2021,18:34:02,1.8
,12 Sep 21:12,12 Sep 2021,21:12:54,1.85
,12 Sep 22:53,12 Sep 2021,22:53:57,1.86
