Unnamed: 0,DateTime,Date,Time,Turbidity(NTU)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,133.1
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,1038.48
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,0.0
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,102.97
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,108.05
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,138.6
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,112.21
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,695.1
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,514.74
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,387.13
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,186.19
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,182.89
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,185.75
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,148.03
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,151.82
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,163.41
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,47.14
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,48.07
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,48.23
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,208.46
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,230.66
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,198.05
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,166.43
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,124.71
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,220.65
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,186.9
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,155.67
27.0,16 Aug 19:20,16 Aug 2021,19:20:17,147.02
28.0,16 Aug 23:18,16 Aug 2021,23:18:09,149.96
29.0,19 Aug 21:09,19 Aug 2021,21:09:25,1179.5
30.0,19 Aug 22:09,19 Aug 2021,22:09:52,1129.38
31.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.0
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,1389.1
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,1341.03
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,1598.82
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,2093.62
36.0,28 Aug 19:18,28 Aug 2021,19:18:38,774.22
,03 Sep 02:17,03 Sep 2021,02:17:33,670.64
,03 09 10:54,03 Sep 2021,10:54:46,689.22
,10 Sep 17:38,10 Sep 2021,17:38:26,860.36
,10 Sep 23:30,10 Sep 2021,23:30:16,1225.94
,12 Sep 17:30,12 Sep 2021,17:30:03,1082.68
,12 Sep 18:42,12 Sep 2021,18:42:45,1061.38
,12 Sep 21:12,12 Sep 2021,21:12:54,1405.87
,12 Sep 22:53,12 Sep 2021,22:53:57,1323.58
