Unnamed: 0,DateTime,Date,Time,Turbidity(NTU)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,444.42
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,354.25
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,357.36
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,397.63
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,364.83
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,364.54
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,386.9
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,377.2
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,409.56
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,409.8
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,470.5
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,444.38
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,478.64
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,288.85
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,289.5
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,305.14
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,306.74
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,303.22
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,304.22
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,271.7
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,264.83
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,225.23
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,217.41
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,338.58
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,296.79
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,333.47
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,307.32
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,320.2
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,394.75
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,324.61
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,334.34
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,350.57
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,335.33
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,250.24
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,219.76
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,233.62
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,254.48
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,234.02
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,247.11
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,272.8
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,250.95
,03 Sep 02:17,03 Sep 2021,02:17:33,217.54
,03 09 10:54,03 Sep 2021,10:54:46,198.42
,10 Sep 17:38,10 Sep 2021,17:38:26,206.87
,10 Sep 23:30,10 Sep 2021,23:30:16,243.36
,12 Sep 17:30,12 Sep 2021,17:30:03,297.36
,12 Sep 18:42,12 Sep 2021,18:42:45,312.36
,12 Sep 21:12,12 Sep 2021,21:12:54,314.14
,12 Sep 22:53,12 Sep 2021,22:53:57,303.41
