Unnamed: 0,DateTime,Date,Time,TSS(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,61.72
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,134.1
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,134.01
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,133.34
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,132.5
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,132.48
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,132.57
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,132.59
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,132.98
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,134.23
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,134.01
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,133.72
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,133.63
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,132.55
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,133.43
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,133.78
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,133.52
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,132.52
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,132.32
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,132.2
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,132.04
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,133.19
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,133.38
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,117.2
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,118.22
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,119.69
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,115.63
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,116.4
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,117.74
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,118.25
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,121.84
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,48.23
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,47.37
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,45.97
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,46.01
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,44.82
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,44.87
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,44.84
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,44.88
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,45.13
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,45.18
,03 Sep 02:17,03 Sep 2021,02:17:33,45.94
,03 09 10:54,03 Sep 2021,10:54:46,45.91
,10 Sep 17:38,10 Sep 2021,17:38:26,45.96
,10 Sep 23:30,10 Sep 2021,23:30:16,45.89
,12 Sep 18:42,12 Sep 2021,18:42:45,45.91
,12 Sep 22:00,12 Sep 2021,22:00:04,45.76
,12 Sep 22:53,12 Sep 2021,22:53:57,45.96
