Unnamed: 0,DateTime,Date,Time,Turbidity(NTU)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,208.33
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,180.76
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,398.03
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,291.38
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,181.64
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,310.07
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,152.5
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,260.08
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,132.44
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,188.32
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,874.55
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,988.42
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,612.86
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,278.34
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,443.26
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,333.82
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,364.56
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,180.84
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,190.63
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,137.5
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,143.54
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,190.89
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,221.15
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,276.33
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,282.23
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,269.67
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,260.3
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,237.58
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,298.23
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,343.52
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,230.11
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,274.99
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,276.76
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,328.35
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,195.68
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,239.92
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,236.64
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,251.07
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,236.99
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,248.8
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,237.52
,03 Sep 02:17,03 Sep 2021,02:17:33,244.37
,03 09 10:54,03 Sep 2021,10:54:46,243.95
,10 Sep 17:38,10 Sep 2021,17:38:26,230.33
,10 Sep 23:30,10 Sep 2021,23:30:16,230.36
,12 Sep 17:30,12 Sep 2021,17:30:03,237.51
,12 Sep 18:42,12 Sep 2021,18:42:45,238.43
,12 Sep 21:12,12 Sep 2021,21:12:54,244.9
,12 Sep 22:53,12 Sep 2021,22:53:57,240.15
