Unnamed: 0,DateTime,Date,Time,TSS(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,18.76
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,22.29
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,23.65
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,24.29
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,29.01
6.0,10 Aug 19:26,10 Aug 2021,19:26:33,24.71
7.0,11 Aug 16:56,11 Aug 2021,16:56:21,26.49
8.0,11 Aug 18:00,11 Aug 2021,18:00:02,26.09
9.0,12 Aug 10:58,12 Aug 2021,10:58:22,27.35
10.0,16 Aug 10:05,16 Aug 2021,10:05:25,30.47
11.0,16 Aug 15:15,16 Aug 2021,15:15:28,30.91
12.0,16 Aug 16:15,16 Aug 2021,16:15:54,31.16
13.0,16 Aug 17:19,16 Aug 2021,17:19:32,29.91
14.0,16 Aug 18:19,16 Aug 2021,18:19:53,42.03
15.0,16 Aug 19:20,16 Aug 2021,19:20:17,31.38
16.0,16 Aug 23:18,16 Aug 2021,23:18:09,32.57
17.0,19 Aug 21:09,19 Aug 2021,21:09:25,34.38
18.0,23 Aug 15:16,23 Aug 2021,15:16:38,33.07
19.0,23 Aug 18:03,23 Aug 2021,18:03:46,32.25
20.0,28 Aug 10:21,28 Aug 2021,10:21:18,25.58
21.0,28 Aug 11:35,28 Aug 2021,11:35:06,39.11
22.0,28 Aug 12:45,28 Aug 2021,12:45:39,32.51
23.0,28 Aug 15:26,28 Aug 2021,15:26:51,26.09
24.0,28 Aug 18:00,28 Aug 2021,18:00:08,23.78
25.0,28 Aug 19:18,28 Aug 2021,19:18:38,23.89
,03 Sep 02:17,03 Sep 2021,02:17:33,22.85
,03 09 10:54,03 Sep 2021,10:54:46,23.09
,10 Sep 17:38,10 Sep 2021,17:38:26,25.01
,10 Sep 23:30,10 Sep 2021,23:30:16,53.42
,12 Sep 16:50,12 Sep 2021,16:50:46,31.03
,12 Sep 17:30,12 Sep 2021,17:30:03,26.6
,12 Sep 18:30,12 Sep 2021,18:30:04,25.39
,12 Sep 21:12,12 Sep 2021,21:12:54,25.9
,12 Sep 22:53,12 Sep 2021,22:53:57,25.61
