,DateTime,Date,Time,Chloride(mg/l)
0,04 Aug 14:26,04 Aug 2021,14:26:24,9.0
1,09 Aug 11:41,09 Aug 2021,11:41:48,6.3
2,09 Aug 12:57,09 Aug 2021,12:57:04,7.3
3,09 Aug 13:57,09 Aug 2021,13:57:19,7.8
4,09 Aug 15:16,09 Aug 2021,15:16:19,7.4
5,09 Aug 16:29,09 Aug 2021,16:29:24,7.6
6,09 Aug 17:29,09 Aug 2021,17:29:51,7.2
7,09 Aug 18:30,09 Aug 2021,18:30:16,5.9
8,09 Aug 19:30,09 Aug 2021,19:30:40,6.0
9,10 Aug 00:49,10 Aug 2021,00:49:39,6.1
10,10 Aug 08:24,10 Aug 2021,08:24:01,5.2
11,10 Aug 09:26,10 Aug 2021,09:26:56,6.3
12,10 Aug 10:27,10 Aug 2021,10:27:28,7.2
13,10 Aug 19:26,10 Aug 2021,19:26:33,6.0
14,10 Aug 20:27,10 Aug 2021,20:27:03,6.5
15,10 Aug 21:30,10 Aug 2021,21:30:23,6.4
16,11 Aug 08:47,11 Aug 2021,08:47:06,11.5
17,11 Aug 10:20,11 Aug 2021,10:20:04,13.1
18,11 Aug 12:13,11 Aug 2021,12:13:36,11.5
19,11 Aug 16:56,11 Aug 2021,16:56:21,9.3
20,11 Aug 18:00,11 Aug 2021,18:00:02,9.2
21,12 Aug 10:59,12 Aug 2021,10:59:37,13.7
22,12 Aug 12:14,12 Aug 2021,12:14:31,8.5
23,16 Aug 10:05,16 Aug 2021,10:05:25,7.5
24,16 Aug 15:15,16 Aug 2021,15:15:28,7.3
25,16 Aug 16:15,16 Aug 2021,16:15:54,7.1
26,16 Aug 17:19,16 Aug 2021,17:19:32,7.2
27,16 Aug 18:19,16 Aug 2021,18:19:53,6.7
28,16 Aug 19:20,16 Aug 2021,19:20:17,7.4
29,16 Aug 23:18,16 Aug 2021,23:18:09,8.9
30,19 Aug 21:09,19 Aug 2021,21:09:25,68.0
31,19 Aug 22:09,19 Aug 2021,22:09:52,94.7
32,23 Aug 15:16,23 Aug 2021,15:16:38,39.6
33,23 Aug 18:03,23 Aug 2021,18:03:46,39.2
34,28 Aug 10:21,28 Aug 2021,10:21:18,70.2
35,28 Aug 11:35,28 Aug 2021,11:35:06,68.8
36,28 Aug 12:45,28 Aug 2021,12:45:39,67.9
37,28 Aug 15:26,28 Aug 2021,15:26:51,59.6
38,28 Aug 18:00,28 Aug 2021,18:00:08,55.8
39,28 Aug 19:18,28 Aug 2021,19:18:38,60.6
40,03 Sep 02:17,03 Sep 2021,02:17:33,0.1
