Unnamed: 0,DateTime,Date,Time,Turbidity(NTU)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,29.59
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,33.77
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,34.48
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,33.07
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,33.84
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,32.63
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,32.7
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,31.62
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,31.32
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,30.45
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,38.41
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,40.82
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,41.77
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,34.02
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,33.62
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,36.71
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,37.22
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,39.42
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,40.73
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,50.82
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,53.72
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,52.05
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,50.65
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,53.07
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,51.42
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,49.33
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,48.99
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,47.37
28.0,16 Aug 23:18,16 Aug 2021,23:18:09,45.36
29.0,19 Aug 21:09,19 Aug 2021,21:09:25,44.71
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,53.38
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,47.95
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,424.4
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,424.92
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,420.11
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,419.08
36.0,28 Aug 19:18,28 Aug 2021,19:18:38,417.24
,03 Sep 02:17,03 Sep 2021,02:17:33,393.84
,03 09 10:54,03 Sep 2021,10:54:46,392.19
,10 Sep 17:38,10 Sep 2021,17:38:26,415.11
,10 Sep 23:30,10 Sep 2021,23:30:16,407.84
,12 Sep 17:30,12 Sep 2021,17:30:03,398.69
,12 Sep 18:42,12 Sep 2021,18:42:45,0.0
