Unnamed: 0,DateTime,Date,Time,Ammonia(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.2
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.31
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,0.23
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,0.66
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.65
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,0.68
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,0.6
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,0.68
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,0.7
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.3
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.4
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.3
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.29
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.54
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,0.39
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,0.27
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.45
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,0.31
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,0.07
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.54
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,0.32
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.39
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.74
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,0.39
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,0.26
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,0.19
26.0,16 Aug 18:19,16 Aug 2021,18:19:53,0.42
27.0,16 Aug 19:20,16 Aug 2021,19:20:17,0.46
28.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.37
29.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.4
30.0,19 Aug 22:09,19 Aug 2021,22:09:52,0.37
31.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.53
32.0,23 Aug 18:03,23 Aug 2021,18:03:46,1.05
33.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.54
34.0,28 Aug 11:35,28 Aug 2021,11:35:06,0.44
35.0,28 Aug 12:45,28 Aug 2021,12:45:39,0.33
36.0,28 Aug 15:26,28 Aug 2021,15:26:51,0.75
37.0,28 Aug 18:00,28 Aug 2021,18:00:08,0.7
38.0,28 Aug 19:18,28 Aug 2021,19:18:38,0.72
,03 Sep 02:17,03 Sep 2021,02:17:33,0.38
,03 09 10:54,03 Sep 2021,10:54:46,0.09
,10 Sep 17:38,10 Sep 2021,17:38:26,0.54
,10 Sep 23:30,10 Sep 2021,23:30:16,0.53
,12 Sep 18:42,12 Sep 2021,18:42:45,0.39
