Unnamed: 0,DateTime,Date,Time,TSS(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,291.85
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,342.77
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,331.03
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,323.23
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,324.51
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,323.67
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,327.87
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,317.87
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,336.21
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,354.15
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,341.68
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,348.34
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,352.18
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,536.46
14.0,11 Aug 10:20,11 Aug 2021,10:20:04,427.58
15.0,11 Aug 12:13,11 Aug 2021,12:13:36,384.4
16.0,11 Aug 16:56,11 Aug 2021,16:56:21,374.06
17.0,11 Aug 18:00,11 Aug 2021,18:00:02,377.46
18.0,12 Aug 10:59,12 Aug 2021,10:59:37,405.75
19.0,12 Aug 12:14,12 Aug 2021,12:14:31,371.63
20.0,16 Aug 10:05,16 Aug 2021,10:05:25,287.65
21.0,16 Aug 11:06,16 Aug 2021,11:06:03,295.9
22.0,16 Aug 15:15,16 Aug 2021,15:15:28,277.57
23.0,16 Aug 16:15,16 Aug 2021,16:15:54,278.61
24.0,16 Aug 17:19,16 Aug 2021,17:19:32,275.08
25.0,16 Aug 18:19,16 Aug 2021,18:19:53,274.21
26.0,16 Aug 19:20,16 Aug 2021,19:20:17,276.94
27.0,16 Aug 23:18,16 Aug 2021,23:18:09,272.15
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,262.98
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,262.67
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,186.17
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,184.56
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,177.52
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,173.57
34.0,28 Aug 12:45,28 Aug 2021,12:45:39,166.69
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,173.45
36.0,28 Aug 18:00,28 Aug 2021,18:00:08,178.2
37.0,28 Aug 19:18,28 Aug 2021,19:18:38,172.43
,03 Sep 02:17,03 Sep 2021,02:17:33,631.69
,03 09 10:54,03 Sep 2021,10:54:46,955.04
,10 Sep 17:38,10 Sep 2021,17:38:26,195.84
,10 Sep 23:30,10 Sep 2021,23:30:16,196.11
,12 Sep 18:42,12 Sep 2021,18:42:45,184.0
,12 Sep 22:00,12 Sep 2021,22:00:04,185.25
,12 Sep 22:53,12 Sep 2021,22:53:57,185.28
