Unnamed: 0,DateTime,Date,Time,Turbidity(NTU)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,699.39
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,315.62
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,206.45
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,212.19
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,203.96
5.0,09 Aug 19:30,09 Aug 2021,19:30:40,198.22
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,181.92
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,182.43
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,180.79
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,176.25
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,187.56
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,183.5
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,177.8
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,182.3
14.0,11 Aug 10:20,11 Aug 2021,10:20:04,182.63
15.0,11 Aug 12:13,11 Aug 2021,12:13:36,190.38
16.0,11 Aug 16:56,11 Aug 2021,16:56:21,208.12
17.0,11 Aug 18:00,11 Aug 2021,18:00:02,206.59
18.0,12 Aug 10:59,12 Aug 2021,10:59:37,223.92
19.0,12 Aug 12:14,12 Aug 2021,12:14:31,223.39
20.0,16 Aug 10:05,16 Aug 2021,10:05:25,252.06
21.0,16 Aug 11:06,16 Aug 2021,11:06:03,251.54
22.0,16 Aug 15:15,16 Aug 2021,15:15:28,250.37
23.0,16 Aug 16:15,16 Aug 2021,16:15:54,238.04
24.0,16 Aug 17:19,16 Aug 2021,17:19:32,242.05
25.0,16 Aug 18:19,16 Aug 2021,18:19:53,236.36
26.0,16 Aug 19:20,16 Aug 2021,19:20:17,236.39
27.0,16 Aug 23:18,16 Aug 2021,23:18:09,232.9
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,146.13
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,145.59
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,143.98
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,150.11
32.0,28 Aug 19:18,28 Aug 2021,19:18:38,205.0
,03 Sep 02:17,03 Sep 2021,02:17:33,183.44
,10 Sep 17:38,10 Sep 2021,17:38:26,173.1
,12 Sep 17:30,12 Sep 2021,17:30:03,159.13
