Unnamed: 0,DateTime,Date,Time,TSS(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,26.36
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,98.33
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,57.12
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,64.94
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,86.43
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,65.37
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,69.3
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,79.5
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,102.44
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,212.71
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,28.56
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,33.27
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,122.72
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,145.8
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,167.81
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,348.19
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,457.92
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,500.06
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,617.52
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,640.32
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,630.48
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,635.78
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.0
23.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.82
24.0,19 Aug 22:09,19 Aug 2021,22:09:52,3.95
25.0,23 Aug 15:16,23 Aug 2021,15:16:38,213.87
26.0,23 Aug 18:03,23 Aug 2021,18:03:46,219.99
27.0,28 Aug 10:21,28 Aug 2021,10:21:18,13.72
28.0,28 Aug 11:35,28 Aug 2021,11:35:06,0.0
,03 Sep 02:17,03 Sep 2021,02:17:33,35.13
,03 09 10:54,03 Sep 2021,10:54:46,34.99
,10 Sep 17:38,10 Sep 2021,17:38:26,35.01
,10 Sep 23:30,10 Sep 2021,23:30:16,35.04
,12 Sep 17:30,12 Sep 2021,17:30:03,35.05
,12 Sep 18:42,12 Sep 2021,18:42:45,35.07
,12 Sep 21:12,12 Sep 2021,21:12:54,35.1
